Function,Expression,Unit
F01:,"UMN(E1)","V"
F02:,"UMN(E2)","V"
F03:,"UMN(E3)","V"
F04:,"UMN(E4)","V"
F05:,"U(E1,ORT)","V"
F06:,"I(E1,ORT)","A"
F07:,"U(E1,ORT)","V"
F08:,"I(E1,ORT)","A"
F09:,"U(E1,ORT)","V"
F10:,"I(E1,ORT)","A"
F11:,"U(E1,ORT)","V"
F12:,"I(E1,ORT)","A"
F13:,"U(E1,ORT)","V"
F14:,"I(E1,ORT)","A"
F15:,"U(E1,ORT)","V"
F16:,"I(E1,ORT)","A"
F17:,"U(E1,ORT)","V"
F18:,"I(E1,ORT)","A"
F19:,"U(E1,ORT)","V"
F20:,"I(E1,ORT)","A"
"Store No.","Date","Time","Millisecond","U-1-Total","I-1-Total","P-1-Total","S-1-Total","Q-1-Total","PF-1-Total","FreqU-1-Total","U-2-Total","I-2-Total","P-2-Total","S-2-Total","Q-2-Total","PF-2-Total","FreqU-2-Total","Q-2-Total","S-2-Total","FreqU-2-Total","FreqI-2-Total","PF-2-Total","U-2-1","I-2-1","P-2-1","U-3-Total","I-3-Total"
36,  2022/05/06,13:09:52, 31,  120.310 ,   20.447 ,  2.4585E+03,  2.4587E+03, -0.0339E+03,  0.99990 ,   60.002 ,  120.371 ,   20.331 ,  2.4456E+03,  2.4460E+03, -0.0419E+03,  0.99985 ,   60.002 , -0.0419E+03,  2.4460E+03,   60.002 ,   59.999 ,  0.99985 ,  120.369 ,   20.323 ,  2.4459E+03,    1.680 ,    0.116 
37,  2022/05/06,13:09:52,531,  120.310 ,   20.458 ,  2.4600E+03,  2.4602E+03, -0.0312E+03,  0.99992 ,   59.998 ,  120.368 ,   20.348 ,  2.4476E+03,  2.4479E+03, -0.0417E+03,  0.99986 ,   59.997 , -0.0417E+03,  2.4479E+03,   59.997 ,   60.008 ,  0.99986 ,  120.366 ,   20.340 ,  2.4479E+03,    1.677 ,    0.119 
38,  2022/05/06,13:09:53, 32,  120.304 ,   20.443 ,  2.4580E+03,  2.4582E+03, -0.0319E+03,  0.99992 ,   60.002 ,  120.357 ,   20.320 ,  2.4440E+03,  2.4444E+03, -0.0437E+03,  0.99984 ,   60.001 , -0.0437E+03,  2.4444E+03,   60.001 ,   60.004 ,  0.99984 ,  120.356 ,   20.312 ,  2.4442E+03,    1.675 ,    0.120 
39,  2022/05/06,13:09:53,530,  120.299 ,   20.458 ,  2.4597E+03,  2.4599E+03, -0.0328E+03,  0.99991 ,   60.002 ,  120.374 ,   20.338 ,  2.4465E+03,  2.4469E+03, -0.0418E+03,  0.99985 ,   60.001 , -0.0418E+03,  2.4469E+03,   60.001 ,   60.000 ,  0.99985 ,  120.372 ,   20.330 ,  2.4468E+03,    1.673 ,    0.111 
40,  2022/05/06,13:09:54, 30,  120.313 ,   20.448 ,  2.4588E+03,  2.4590E+03, -0.0343E+03,  0.99990 ,   60.002 ,  120.365 ,   20.337 ,  2.4462E+03,  2.4465E+03, -0.0418E+03,  0.99985 ,   60.002 , -0.0418E+03,  2.4465E+03,   60.002 ,   60.000 ,  0.99985 ,  120.364 ,   20.328 ,  2.4465E+03,    1.672 ,    0.116 
41,  2022/05/06,13:09:54,532,  120.313 ,   20.436 ,  2.4573E+03,  2.4575E+03, -0.0305E+03,  0.99992 ,   60.002 ,  120.366 ,   20.333 ,  2.4458E+03,  2.4461E+03, -0.0415E+03,  0.99986 ,   60.000 , -0.0415E+03,  2.4461E+03,   60.000 ,   60.000 ,  0.99986 ,  120.364 ,   20.325 ,  2.4460E+03,    1.670 ,    0.119 
42,  2022/05/06,13:09:55, 32,  120.314 ,   20.469 ,  2.4613E+03,  2.4615E+03, -0.0326E+03,  0.99991 ,   60.001 ,  120.366 ,   20.333 ,  2.4458E+03,  2.4462E+03, -0.0428E+03,  0.99985 ,   60.002 , -0.0428E+03,  2.4462E+03,   60.002 ,   60.003 ,  0.99985 ,  120.365 ,   20.325 ,  2.4460E+03,    1.668 ,    0.129 
43,  2022/05/06,13:09:55,531,  120.314 ,   20.437 ,  2.4574E+03,  2.4576E+03, -0.0330E+03,  0.99991 ,   60.002 ,  120.372 ,   20.322 ,  2.4446E+03,  2.4449E+03, -0.0411E+03,  0.99986 ,   60.002 , -0.0411E+03,  2.4449E+03,   60.002 ,   59.999 ,  0.99986 ,  120.370 ,   20.314 ,  2.4449E+03,    1.666 ,    0.116 
44,  2022/05/06,13:09:56, 32,  120.314 ,   20.422 ,  2.4557E+03,  2.4559E+03, -0.0333E+03,  0.99991 ,   60.004 ,  120.371 ,   20.312 ,  2.4434E+03,  2.4437E+03, -0.0408E+03,  0.99986 ,   60.003 , -0.0408E+03,  2.4437E+03,   60.003 ,   60.001 ,  0.99986 ,  120.370 ,   20.304 ,  2.4436E+03,    1.666 ,    0.122 
45,  2022/05/06,13:09:56,532,  120.313 ,   20.439 ,  2.4576E+03,  2.4578E+03, -0.0333E+03,  0.99991 ,   60.001 ,  120.363 ,   20.343 ,  2.4470E+03,  2.4473E+03, -0.0409E+03,  0.99986 ,   60.002 , -0.0409E+03,  2.4473E+03,   60.002 ,   60.004 ,  0.99986 ,  120.362 ,   20.335 ,  2.4472E+03,    1.666 ,    0.109 
