Store No.,Date,Time,Millisecond,U-1-Total,I-1-Total,P-1-Total,S-1-Total,Q-1-Total,PF-1-Total,FreqU-1-Total,U-2-Total,I-2-Total,P-2-Total,S-2-Total,Q-2-Total,PF-2-Total,FreqU-2-Total,U-3-Total,I-3-Total,P-3-Total,I-3-Total,Q-3-Total,PF-3-Total,FreqU-3-Total,P-SigmaA-Total,S-SigmaA-Total,Q-SigmaA-Total
44,  2022/02/24,16:00:44,102,236.008,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,235.988,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.939,0,-1.00E+00,0,0.00E+00,   Error ,60.003,-2.00E+00,0.00E+00,0.00E+00
45,  2022/02/24,16:00:45,104,236.011,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,236,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.936,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
46,  2022/02/24,16:00:46,101,236.023,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.989,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.952,0,-2.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
47,  2022/02/24,16:00:47,102,236.004,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,236.009,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.937,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
48,  2022/02/24,16:00:48,104,236.023,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.949,0,1.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
49,  2022/02/24,16:00:49,101,236.013,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236.007,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.004,235.955,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
50,  2022/02/24,16:00:50,103,236.024,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,236.001,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.956,0,0.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
51,  2022/02/24,16:00:51,107,236.009,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,236.005,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.947,0,1.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
52,  2022/02/24,16:00:52,103,236.022,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236.005,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.945,0,1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
53,  2022/02/24,16:00:53,100,236.002,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,236.004,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.934,0,2.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
54,  2022/02/24,16:00:54,107,236.026,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,236,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.95,0,1.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
55,  2022/02/24,16:00:55,102,245.004,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,245.02,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,244.928,0,0.00E+00,0,0.00E+00,   Error ,60.003,1.00E+00,0.00E+00,0.00E+00
56,  2022/02/24,16:00:56,102,245.019,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.003,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.946,0,1.00E+00,0,0.00E+00,   Error ,60.001,2.00E+00,0.00E+00,0.00E+00
57,  2022/02/24,16:00:57,104,244.996,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,244.997,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.946,0,0.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
58,  2022/02/24,16:00:58,109,245.01,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.998,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.933,0,1.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
59,  2022/02/24,16:00:59,101,245.004,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.004,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,244.932,0,0.00E+00,0,0.00E+00,   Error ,60.003,-1.00E+00,0.00E+00,0.00E+00
60,  2022/02/24,16:01:00,108,245.024,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.997,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.935,0,0.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
61,  2022/02/24,16:01:01,102,245.007,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.997,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,244.938,0,1.00E+00,0,0.00E+00,   Error ,60.001,3.00E+00,0.00E+00,0.00E+00
62,  2022/02/24,16:01:02,102,245.022,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,245.001,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.943,0,-2.00E+00,0,0.00E+00,   Error ,60.002,-2.00E+00,0.00E+00,0.00E+00
63,  2022/02/24,16:01:03,105,245.008,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,245.002,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.944,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
64,  2022/02/24,16:01:04,100,245.013,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.013,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.934,0,2.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
65,  2022/02/24,16:01:05,101,245.016,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.009,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.952,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
66,  2022/02/24,16:01:06,104,245.023,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.008,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.003,244.942,0,1.00E+00,0,0.00E+00,   Error ,60.002,4.00E+00,0.00E+00,0.00E+00
67,  2022/02/24,16:01:07,102,245.015,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.995,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,244.956,0,0.00E+00,0,0.00E+00,   Error ,60.002,-2.00E+00,0.00E+00,0.00E+00
68,  2022/02/24,16:01:08,101,245.013,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.015,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,244.955,0,0.00E+00,0,0.00E+00,   Error ,60.001,1.00E+00,0.00E+00,0.00E+00
69,  2022/02/24,16:01:09,107,245.002,0,-3.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.985,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.952,0,1.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
70,  2022/02/24,16:01:10,102,245.011,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.011,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.95,0,2.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
71,  2022/02/24,16:01:11,101,245.014,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,245.003,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.955,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
72,  2022/02/24,16:01:12,132,245,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.999,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.944,0,2.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
